video,env,short_rate_per_min,short_mean_dur_s,short_ibi_mean_s,short_ibi_cv,ext_rate_per_min,ext_mean_dur_s,ext_ibi_mean_s,ext_ibi_cv
HUST-LEBW\Video (1).avi,noisy,150.0,0.1,,,150.0,0.1,,
HUST-LEBW\Video (10).avi,noisy,110.76923076923077,0.26666666666666666,0.7111111111111111,0.42158554885100125,110.76923076923077,0.26666666666666666,0.7111111111111111,0.42158554885100125
HUST-LEBW\Video (11).avi,noisy,257.1428571428571,0.10000000000000002,0.33333333333333337,0.3,257.1428571428571,0.10000000000000002,0.33333333333333337,0.3
HUST-LEBW\Video (12).avi,noisy,300.0,0.6666666666666666,,,300.0,0.6666666666666666,,
HUST-LEBW\Video (13).avi,noisy,450.0,0.16666666666666666,,,450.0,0.16666666666666666,,
HUST-LEBW\Video (14).avi,noisy,257.1428571428571,0.2833333333333333,0.43333333333333335,0.0,257.1428571428571,0.2833333333333333,0.43333333333333335,0.0
HUST-LEBW\Video (15).avi,noisy,120.0,0.16666666666666666,,,120.0,0.16666666666666666,,
HUST-LEBW\Video (16).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (17).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (18).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (19).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (2).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (20).avi,noisy,257.1428571428571,0.13333333333333333,,,257.1428571428571,0.13333333333333333,,
HUST-LEBW\Video (21).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (22).avi,noisy,26.086956521739133,0.13333333333333333,,,26.086956521739133,0.13333333333333333,,
HUST-LEBW\Video (23).avi,noisy,150.0,0.26666666666666666,,,150.0,0.26666666666666666,,
HUST-LEBW\Video (24).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (25).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (26).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (27).avi,noisy,257.1428571428571,0.43333333333333335,,,257.1428571428571,0.43333333333333335,,
HUST-LEBW\Video (28).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (29).avi,noisy,180.0,0.1,,,180.0,0.1,,
HUST-LEBW\Video (3).avi,noisy,94.73684210526316,0.1,1.2333333333333334,0.0,94.73684210526316,0.1,1.2333333333333334,0.0
HUST-LEBW\Video (30).avi,noisy,180.0,0.3333333333333333,,,180.0,0.3333333333333333,,
HUST-LEBW\Video (31).avi,noisy,150.0,0.3,,,150.0,0.3,,
HUST-LEBW\Video (32).avi,noisy,112.5,0.13333333333333333,,,112.5,0.13333333333333333,,
HUST-LEBW\Video (33).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (34).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (35).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (36).avi,noisy,276.9230769230769,0.11666666666666667,0.4,0.0,276.9230769230769,0.11666666666666667,0.4,0.0
HUST-LEBW\Video (37).avi,noisy,0.0,0.0,,,0.0,0.0,,
HUST-LEBW\Video (38).avi,noisy,0.0,0.0,,,0.0,0.0,,
